,Image,F1,Jaccard,Recall,Precision
216,archive\images\855.png,0.8264199106573069,0.7041870581837956,0.9390862944162437,0.7378917378917379
217,archive\images\2909.png,0.847682119205298,0.735632183908046,0.7518355359765051,0.9715370018975332
218,archive\images\1207.png,0.8767123287671232,0.7804878048780488,0.7852760736196319,0.9922480620155039
219,archive\images\2593.png,0.922497308934338,0.8561438561438561,0.8771750255885363,0.9727582292849035
220,archive\images\184.png,0.6903114186851211,0.5270805812417437,0.9388235294117647,0.5458276333789329
221,archive\images\2060.png,0.0,0.0,0.0,0.0
222,archive\images\159.png,0.9279742765273312,0.865626874625075,0.8957169459962756,0.962641761174116
223,archive\images\512.png,0.9799072642967542,0.9606060606060606,0.9689251146204788,0.9911412193850964
224,archive\images\2732.png,0.6208378088077336,0.4501557632398754,0.5070175438596491,0.8005540166204986
225,archive\images\2994.png,0.0,0.0,0.0,0.0
226,archive\images\2394.png,0.572980312287848,0.4015223596574691,0.5047846889952153,0.6624803767660911
227,archive\images\1420.png,0.9157667386609071,0.8446215139442231,0.8617886178861789,0.9769585253456221
228,archive\images\1814.png,0.7654723127035831,0.6200527704485488,0.9832635983263598,0.6266666666666667
229,archive\images\782.png,0.9550425273390036,0.913953488372093,0.9401913875598086,0.9703703703703703
230,archive\images\1437.png,0.8905992303463441,0.8027750247770069,0.9914320685434517,0.8083832335329342
231,archive\images\2300.png,0.45938864628820963,0.2981859410430839,0.9494584837545126,0.3029953917050691
232,archive\images\2801.png,0.9127814779575008,0.8395565927654609,0.9716407832545577,0.8606459330143541
233,archive\images\2418.png,0.8796001817355747,0.7850770478507705,0.7889160554197229,0.9938398357289527
234,archive\images\1955.png,0.79265493496557,0.6565272496831432,0.6590330788804071,0.9942418426103646
235,archive\images\1342.png,0.9364844903988183,0.8805555555555555,0.9005681818181818,0.9753846153846154
236,archive\images\1585.png,0.9424124513618677,0.8910963944076526,0.9365815931941222,0.9483163664839468
237,archive\images\6.png,0.8867562380038387,0.7965517241379311,0.8279569892473119,0.9545454545454546
238,archive\images\718.png,0.7110132158590309,0.5516062884483938,0.5611961057023644,0.9699519230769231
239,archive\images\437.png,0.9337349397590361,0.8757062146892656,0.9451219512195121,0.9226190476190477
240,archive\images\1792.png,0.5014925373134328,0.3346613545816733,0.9333333333333333,0.34285714285714286
241,archive\images\1681.png,0.9555555555555556,0.9148936170212766,0.9359795134443022,0.9759679572763685
242,archive\images\750.png,0.8144262295081968,0.6869469026548672,0.7059492231906025,0.9622933884297521
243,archive\images\1826.png,0.9360730593607306,0.8798283261802575,0.9484467944481163,0.9240180296200902
244,archive\images\2061.png,0.9178193653376729,0.8481203007518797,0.9082125603864735,0.9276315789473685
